,COMMENT,Positivity,Negativity,Neutrality,Compound
2370,Felt Good ,0.744,0.0,0.256,0.4404
2371,good,1.0,0.0,0.0,0.4404
2372,calm,1.0,0.0,0.0,0.3182
2373,felt really goog,0.0,0.0,1.0,0.0
2374,Love it!,0.818,0.0,0.182,0.6696
2375,mindful,0.0,0.0,1.0,0.0
2376,Felt Good ,0.744,0.0,0.256,0.4404
2377,Helped us calm down,0.434,0.0,0.566,0.3182
2378,awesome,1.0,0.0,0.0,0.6249
2379,ok,1.0,0.0,0.0,0.296
2380,ok,1.0,0.0,0.0,0.296
2381,felt good,0.744,0.0,0.256,0.4404
2382,Mindful,0.0,0.0,1.0,0.0
2383,Soothing and calming,0.833,0.0,0.167,0.6124
2384,"Good
",1.0,0.0,0.0,0.4404
2385,Students loved it! Great start.,0.734,0.0,0.266,0.8516
2386,"awesome
",1.0,0.0,0.0,0.6249
2387,Calm ,1.0,0.0,0.0,0.3182
2388,great,1.0,0.0,0.0,0.6249
2389,"Liked the breathing, opening our eyes, like all of them",0.398,0.0,0.602,0.6486
2390,Mindful,0.0,0.0,1.0,0.0
2391,Grateful,1.0,0.0,0.0,0.4588
2392,"felt good, calm, mindful, happy",0.817,0.0,0.183,0.836
2393,Less talking is better. ,0.468,0.0,0.532,0.3892
2394,solo- test drive.,0.0,0.0,1.0,0.0
2395,happy,1.0,0.0,0.0,0.5719
2396,Nice,1.0,0.0,0.0,0.4215
2397,Happy,1.0,0.0,0.0,0.5719
2398,Thanks,1.0,0.0,0.0,0.4404
2399,Awesome!,1.0,0.0,0.0,0.6588
2400,Grateful,1.0,0.0,0.0,0.4588
2401,felt great. ,0.804,0.0,0.196,0.6249
2402,Mindful,0.0,0.0,1.0,0.0
2403,Grateful,1.0,0.0,0.0,0.4588
2404,n/a,0.0,0.0,1.0,0.0
2405,defSWed,0.0,0.0,1.0,0.0
2406,Damian G. Session.,0.0,0.0,1.0,0.0
2407,"It felt good by sending friendly wishes to everyone in the classroom.  I liked thinking of a person that I barely knew, I was thinking about what they could be doing right now. It felt good to think of my dog and what she's doing right now. ",0.261,0.0,0.739,0.9081
2408,"We love nature- the sunshine, the birds singing and the song.",0.451,0.0,0.549,0.8126
2409,"calm
",1.0,0.0,0.0,0.3182
2410,Felt Good ,0.744,0.0,0.256,0.4404
2411,calmin,0.0,0.0,1.0,0.0
2412,"4,lk.m;jh'bgVFFFFCDxsz",0.0,0.0,1.0,0.0
2413,Better,1.0,0.0,0.0,0.4404
2414,"Sorry, I was not present or focused today.",0.0,0.411,0.589,-0.3578
2415,It felt good taking time to appreciate myself and others in the field that teach or support youth development while nurturing resilience and compassion especially during the pandemic. We are all essential!,0.351,0.0,0.649,0.9273
2416,Mindful ,0.0,0.0,1.0,0.0
2417,Mindful,0.0,0.0,1.0,0.0
2418,Nos encanta mucha la canción del final. ,0.0,0.0,1.0,0.0
2419,We did not like this practice at all....,0.0,0.232,0.768,-0.2755
2420,Love it!,0.818,0.0,0.182,0.6696
2421,Love it!,0.818,0.0,0.182,0.6696
2422,Thanks,1.0,0.0,0.0,0.4404
2423,involved,0.0,0.0,1.0,0.0
2424,I loved it.,0.796,0.0,0.204,0.5994
2425,ok,1.0,0.0,0.0,0.296
2426,Mindful,0.0,0.0,1.0,0.0
2427,Relaxing,1.0,0.0,0.0,0.4939
2428,gracias por todo. me gustó la música. I love your comments.,0.318,0.0,0.682,0.6369
2429,Felt really long for a whole class of fifth graders. They suggest some background music.,0.0,0.0,1.0,0.0
2430,Mindful,0.0,0.0,1.0,0.0
2431,peaceful,1.0,0.0,0.0,0.4939
2432,Felt Good ,0.744,0.0,0.256,0.4404
2433,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaddddddddddddddddddddddddddddddd    bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbaaaaaaaaaaaaaaaaaaaaaaaadddddddddddd,0.0,0.0,1.0,0.0
2434,Interesting,1.0,0.0,0.0,0.4019
2435,Calm,1.0,0.0,0.0,0.3182
2436,really good,0.762,0.0,0.238,0.4927
2437,Very calming and mindful ,0.499,0.0,0.501,0.4576
2438,no,0.0,1.0,0.0,-0.296
2439,Massage is awesome!,0.687,0.0,0.313,0.6588
2440,Voice wasn't soothing,0.0,0.495,0.505,-0.2411
2441,we felt calm!,0.564,0.0,0.436,0.3802
2442,"taking the belly breaths helps to make me more calm
breathing in deeply made me more mindful
it was good to feel the differences between shallow and belly breathing",0.237,0.0,0.763,0.796
2443,Good feeling!,1.0,0.0,0.0,0.5707
2444,It felt like sparkles and sounds like a fairy. :),0.673,0.0,0.327,0.8519
2445,I Love it,0.808,0.0,0.192,0.6369
2446,calming,1.0,0.0,0.0,0.4019
2447,nn,0.0,0.0,1.0,0.0
2448,fine,1.0,0.0,0.0,0.2023
2449,Love the sound of birds. Relaxing,0.649,0.0,0.351,0.8126
2450,Felt Good,0.744,0.0,0.256,0.4404
2451,fdsdg,0.0,0.0,1.0,0.0
2452,very calming,0.75,0.0,0.25,0.4576
2454,"Great
",1.0,0.0,0.0,0.6249
2455,We like the ones without much talking. ,0.294,0.0,0.706,0.3612
2456,Love it!,0.818,0.0,0.182,0.6696
2457,Grateful,1.0,0.0,0.0,0.4588
2458,good,1.0,0.0,0.0,0.4404
2459,Love it!,0.818,0.0,0.182,0.6696
2460,We did like his voice...,0.385,0.0,0.615,0.3612
2461,Well done anxiety focus.,0.362,0.293,0.345,0.1027
2462,calm,1.0,0.0,0.0,0.3182
2463,Mindful,0.0,0.0,1.0,0.0
2464,ok,1.0,0.0,0.0,0.296
2465,All the above,0.0,0.0,1.0,0.0
2466,"I like doing the shark fin, it gets my brain ready to focus. Paying attention to my breathing, helps me feel calm and my heart feel safe. It was helpful to use my brain to see underneath the water, I imagined lots of fish, especially a clown fish.",0.286,0.0,0.714,0.9274
2467,good job,0.744,0.0,0.256,0.4404
2468,Mindful,0.0,0.0,1.0,0.0
2469,this one was a little long for the children but they enjoyed the exercise,0.271,0.0,0.729,0.6652
2470,Calm,1.0,0.0,0.0,0.3182
2474,gracias por todo. gracias. gracias por relajarme. i like your music. gracias por la música. i love it so much. i give it 100 stars. I like the video so much. Me siento mucho bien tanto <3 me gusto la cancion.,0.268,0.0,0.732,0.9022
2475,"shark fin, made us feel proud, made heart beat fast, made eyes happy",0.382,0.0,0.618,0.7783
2476,Grateful,1.0,0.0,0.0,0.4588
2477,its amazing,0.792,0.0,0.208,0.5859
2478,"Dear Ms. Houlihan,

I loved the session when we did the shark fin to focus, and I felt calm.

From, Room 804",0.341,0.0,0.659,0.8316
2479,Mindful,0.0,0.0,1.0,0.0
2480,"I noticed that when we were stretching our necks, it got a little loose.  I liked how we were silent. I noticed when I was stretching my neck I felt crackles and pops because I haven't stretched my neck in centuries. ",0.069,0.055,0.876,0.1317
2481,It was great,0.672,0.0,0.328,0.6249
2482,Grateful ,1.0,0.0,0.0,0.4588
2483,"Carlos, wonderful mindfulness lesson today on the Sense of Touch!
Blessings!",0.464,0.0,0.536,0.8309
2484,Calm,1.0,0.0,0.0,0.3182
2485,Calm,1.0,0.0,0.0,0.3182
2486,Great morning,0.804,0.0,0.196,0.6249
2487,beautiful,1.0,0.0,0.0,0.5994
2488,ok,1.0,0.0,0.0,0.296
2489,"Great!
",1.0,0.0,0.0,0.6588
2490,Felt Good ,0.744,0.0,0.256,0.4404
2491,it sucks,0.0,0.714,0.286,-0.3612
2492,beautiful,1.0,0.0,0.0,0.5994
2493,"students liked it 
",0.583,0.0,0.417,0.4215
2494,Mindful,0.0,0.0,1.0,0.0
2495,Felt Good,0.744,0.0,0.256,0.4404
2496,Felt good and loved it!,0.703,0.0,0.297,0.7959
2497,"happy
",1.0,0.0,0.0,0.5719
2498,Calm came over me-I closed my eyes as to not be distracted by the objects in the space.,0.213,0.0,0.787,0.5165
2499,short and sweet,0.6,0.0,0.4,0.4588
2500,"It was great! It was quiet and smooth. It calmed me down. It felt good in the brain. It made me feel happy. This one made me feel grateful and mindful. 

-Quotes from 3rd grade at Detroit Leadership Academy ",0.328,0.0,0.672,0.9485
2501,happy,1.0,0.0,0.0,0.5719
2502,Calm,1.0,0.0,0.0,0.3182
2503,calm,1.0,0.0,0.0,0.3182
2505,"relaxed
calm
sleepy
tired
calm
heard ocean
ready to learn",0.566,0.159,0.275,0.7506
2506,Love it!,0.818,0.0,0.182,0.6696
2507,beautiful,1.0,0.0,0.0,0.5994
2508,Body Scan helps me to relax.,0.579,0.0,0.421,0.6705
2509,Love it!,0.818,0.0,0.182,0.6696
2510,Calm,1.0,0.0,0.0,0.3182
2511,ghmg,0.0,0.0,1.0,0.0
2512,nice,1.0,0.0,0.0,0.4215
2513,Mindful,0.0,0.0,1.0,0.0
2514,Love it!,0.818,0.0,0.182,0.6696
2515,That song is just so calming and happy for us. Thank you! ,0.532,0.0,0.468,0.882
2516,"calm
",1.0,0.0,0.0,0.3182
2517,great intro,0.804,0.0,0.196,0.6249
2518,Tired. ,0.0,1.0,0.0,-0.4404
2519,Felt Good,0.744,0.0,0.256,0.4404
2520,"Scholars report feeling peaceful, mindful, and comfortable. ",0.667,0.0,0.333,0.7906
2521,"calm experience
",0.697,0.0,0.303,0.3182
2522,"I like this better than Hang-1 because the tones are softer and warmer.  However, it's still too mental for me.  I want to be transported to another place...away from my mind...a spiritual, higher vibrational place.  This keeps me here...in my mind.",0.203,0.0,0.797,0.7845
2523,This activity helped us feel calm and helped us to concentrate.,0.187,0.0,0.813,0.3182
2525,Felt Good,0.744,0.0,0.256,0.4404
2526,"Calming
",1.0,0.0,0.0,0.4019
2527,"calm
",1.0,0.0,0.0,0.3182
2528,Grateful ,1.0,0.0,0.0,0.4588
2529,we love school,0.677,0.0,0.323,0.6369
2530,0k,0.0,0.0,1.0,0.0
2531,Great suggestions. ,0.804,0.0,0.196,0.6249
2532,"Scholars report feeling comfortable, calm, peaceful, and good.",0.815,0.0,0.185,0.9042
2533,great,1.0,0.0,0.0,0.6249
2534,CALM,1.0,0.0,0.0,0.3182
2535,calm,1.0,0.0,0.0,0.3182
2537,Felt Good ,0.744,0.0,0.256,0.4404
2538,Grateful,1.0,0.0,0.0,0.4588
2540,When we came from lunch we were so excited but when we listened we felt calm and grateful for it. ,0.346,0.0,0.654,0.8405
2541,"happy, mindful",0.787,0.0,0.213,0.5719
2542,ff,1.0,0.0,0.0,0.4215
2543,The lessons keep freezing for some reason.,0.0,0.189,0.811,-0.1027
2544,Love it!,0.818,0.0,0.182,0.6696
2545,Happy,1.0,0.0,0.0,0.5719
2546,calming,1.0,0.0,0.0,0.4019
2547,The best part of listening to soft sounds is that they don't hurt your ears.,0.349,0.0,0.651,0.7891
2549,great,1.0,0.0,0.0,0.6249
2550,Love it!,0.818,0.0,0.182,0.6696
2551,students enjoyed the exercise and participated fully! they seemed very open to accompany me on the 21 da challenge. This meeting was done first thing in the morning- moving forward we will practice after specials in the afternoon. ,0.12,0.0,0.88,0.5983
2552,This activity made us feel good to think about our thoughts as clouds and if ever we have bad or worried thoughts we can let them float away. ,0.086,0.17,0.744,-0.4215
2553,Love it!,0.818,0.0,0.182,0.6696
2555,"Gracias por todo. Gracias por la musica. Gracias por la musica, Edgar. Gracias por relajarme. Yo me gusta mucho y mucho. Gracias Edgar. Thank you I love it.",0.218,0.0,0.782,0.7717
2556,Mindful ,0.0,0.0,1.0,0.0
2557,Very positive.,0.796,0.0,0.204,0.5984
2558,us,0.0,0.0,1.0,0.0
2559,students commented on different smells ,0.0,0.0,1.0,0.0
2560,Ok,1.0,0.0,0.0,0.296
2561,Feel better,0.744,0.0,0.256,0.4404
2562,Great way to start the day!!!,0.499,0.0,0.501,0.7163
2563,fun,1.0,0.0,0.0,0.5106
2564,MIndful,0.0,0.0,1.0,0.0
2565,Mindful,0.0,0.0,1.0,0.0
2566,Great!,1.0,0.0,0.0,0.6588
2567,Nice belly breathing activity!,0.508,0.0,0.492,0.4753
2568,Happy,1.0,0.0,0.0,0.5719
2569,Felt Good,0.744,0.0,0.256,0.4404
2570,lovely practice,0.792,0.0,0.208,0.5859
2571,piano music nice touch.,0.483,0.0,0.517,0.4215
2572,"It was nice to feel connected to friends, plants, animals and other people.  I felt like I was learning that plants and animals live a long time because maybe your dad may have seen the same moon decades ago. I felt calm and I liked that we share the air. ",0.287,0.0,0.713,0.9287
2573,Felt Good,0.744,0.0,0.256,0.4404
2574,"""Breathing made me calm.  My body felt relaxed.""  -Musa",0.223,0.0,0.777,0.3182
2575,Mindful,0.0,0.0,1.0,0.0
2576,We loved our mindful experience today.  Now we feel calm.  It was a little short though.,0.323,0.0,0.677,0.7351
2577,love it,0.808,0.0,0.192,0.6369
2578,Thanks,1.0,0.0,0.0,0.4404
2579,no good,0.569,0.431,0.0,0.1779
2580,Relaxing,1.0,0.0,0.0,0.4939
2581,Love it!,0.818,0.0,0.182,0.6696
2582,Veru nic e his morning,0.0,0.0,1.0,0.0
2583,relax,1.0,0.0,0.0,0.4404
2584,Very relaxing.,0.777,0.0,0.223,0.5413
2585,Happy,1.0,0.0,0.0,0.5719
2586,Felt Good ,0.744,0.0,0.256,0.4404
2587,GOOD!,1.0,0.0,0.0,0.4926
2588,calm,1.0,0.0,0.0,0.3182
2589,Mindful,0.0,0.0,1.0,0.0
2590,Love it!,0.818,0.0,0.182,0.6696
2591,This activity helped us to feel relaxed.,0.348,0.0,0.652,0.4939
2592,relaxing,1.0,0.0,0.0,0.4939
2593,Grateful,1.0,0.0,0.0,0.4588
2594,Working on ensuring all of my general education classes that have SWEN will incorporate this daily EASY-TO-IMPLEMENT SEL to set the stage for emotional regulation,0.139,0.0,0.861,0.4019
2595,Calm,1.0,0.0,0.0,0.3182
2596,"It felt relaxing to hear the rain.  This practice calmed me by taking deep breaths. It was very nice to come in, relax and forgive people. ",0.398,0.0,0.602,0.9168
2597,Happy,1.0,0.0,0.0,0.5719
2598,"Very Relaxing
",0.777,0.0,0.223,0.5413
2599,"Great experience, students loved this one!!!",0.689,0.0,0.311,0.8713
2600,none,0.0,0.0,1.0,0.0
2601,Felt Good,0.744,0.0,0.256,0.4404
2602,"HAPPY
",1.0,0.0,0.0,0.5719
2603,"it was soothing, the train horn made me kinda 'funny' inside, mindful
tightening my stomach muscles made me feel like I was going to throw up!!?!?!",0.216,0.0,0.784,0.7452
2604,ftyghjstyju,0.0,0.0,1.0,0.0
2605,ok,1.0,0.0,0.0,0.296
2606,This is my second mindful experience for the today. The mind wandered more this time around. I had to keep refocusing on my breathing. ,0.0,0.0,1.0,0.0
2607,First practice!,0.0,0.0,1.0,0.0
2608,"calm
",1.0,0.0,0.0,0.3182
2609,Questions were more personal than soothing. ,0.339,0.0,0.661,0.3744
2610,relaxing,1.0,0.0,0.0,0.4939
2611,We will make wise choices today.,0.383,0.0,0.617,0.4767
2612,Very helpful practice!!!,0.665,0.0,0.335,0.6084
2613,"Scholars report feeling mindful, peaceful, and relaxed.",0.664,0.0,0.336,0.7845
2614,We loved the taste of the apple.,0.394,0.0,0.606,0.5994
2615,Students liked belly breaths rather than shallow breaths.,0.286,0.0,0.714,0.4215
2616,Good,1.0,0.0,0.0,0.4404
2618,Calm,1.0,0.0,0.0,0.3182
2619,We couldn't hear the digerido very well,0.285,0.0,0.715,0.3384
2620,"Thank You, It warm the heart.",0.524,0.0,0.476,0.5267
2621,Nice!,1.0,0.0,0.0,0.4753
2622,no,0.0,1.0,0.0,-0.296
2623,Thanks,1.0,0.0,0.0,0.4404
2624,mindful,0.0,0.0,1.0,0.0
2625,We loved it!,0.677,0.0,0.323,0.636
2626,Very Calming exercise.,0.599,0.0,0.401,0.4576
2627,I felt grateful.,0.75,0.0,0.25,0.4588
2629,"This was requested by my students. Thank you!
",0.285,0.0,0.715,0.4199
2630,fdasdfsaedf,0.0,0.0,1.0,0.0
2632,happy,1.0,0.0,0.0,0.5719
2634,I thought you were speaking to me from the heart...,0.0,0.0,1.0,0.0
2635,Calm,1.0,0.0,0.0,0.3182
2636,Better,1.0,0.0,0.0,0.4404
2637,CALM,1.0,0.0,0.0,0.3182
2638,Felt Good,0.744,0.0,0.256,0.4404
2639,Happy ,1.0,0.0,0.0,0.5719
2640,Mindful,0.0,0.0,1.0,0.0
2641,good ,1.0,0.0,0.0,0.4404
2642,calm,1.0,0.0,0.0,0.3182
2643,"ok
",1.0,0.0,0.0,0.296
2644,Calm ,1.0,0.0,0.0,0.3182
2645,good stretching excising,0.592,0.0,0.408,0.4404
2646,Intriguing,0.0,0.0,1.0,0.0
2647,Awesome!,1.0,0.0,0.0,0.6588
2648,Loved the music.,0.661,0.0,0.339,0.5994
2649,I like the shorter ones to use in my classroom,0.238,0.0,0.762,0.3612
2650,Calm,1.0,0.0,0.0,0.3182
2651,"nice
",1.0,0.0,0.0,0.4215
2652,"felt air
waterfall with hummingbirds in trees
relaxed and sleepy
calm
",0.379,0.0,0.621,0.6705
2653,gfiyfyugu,0.0,0.0,1.0,0.0
2654,good,1.0,0.0,0.0,0.4404
2655,Calm,1.0,0.0,0.0,0.3182
2656,Love it! ,0.818,0.0,0.182,0.6696
2657,We all enjoyed but need to learn the song better.,0.429,0.0,0.571,0.7184
2658,I like how i can concentrate and listen to the sounds. ,0.238,0.0,0.762,0.3612
2659,Mindful,0.0,0.0,1.0,0.0
2660,Great.,1.0,0.0,0.0,0.6249
2661,Felt Good ,0.744,0.0,0.256,0.4404
2662,ok,1.0,0.0,0.0,0.296
2663,ok,1.0,0.0,0.0,0.296
2664,Calm,1.0,0.0,0.0,0.3182
2665,"mindful, felt good, calm, happy, grateful",0.856,0.0,0.144,0.8979
2666,Calm,1.0,0.0,0.0,0.3182
2667,great,1.0,0.0,0.0,0.6249
2668,"Today was a good day to practice mindfulness.
",0.326,0.0,0.674,0.4404
2669,good,1.0,0.0,0.0,0.4404
2670,"calm
",1.0,0.0,0.0,0.3182
2671,Calm,1.0,0.0,0.0,0.3182
2672,"Dear Will,

I loved the part when we felt the touch of our arms.  

From, Room 804",0.317,0.0,0.683,0.7579
2673,Mindful,0.0,0.0,1.0,0.0
2674,"ok
",1.0,0.0,0.0,0.296
2676,Mindful,0.0,0.0,1.0,0.0
2677,Mindful,0.0,0.0,1.0,0.0
2678,ok,1.0,0.0,0.0,0.296
2679,Mindful,0.0,0.0,1.0,0.0
2680,Wedding vibes...bop bop boi,0.0,0.0,1.0,0.0
2681,Happy!,1.0,0.0,0.0,0.6114
2682,wow,1.0,0.0,0.0,0.5859
2683,on the beach,0.0,0.0,1.0,0.0
2684,"Mindful 0
Happy
Felt good 2
Calm 7
Grateful 1
Love it 1
",0.843,0.0,0.157,0.9442
2685,Loved Ofuso's voice,0.661,0.0,0.339,0.5994
2686,gr,0.0,0.0,1.0,0.0
2687,Mindful,0.0,0.0,1.0,0.0
2688,nice,1.0,0.0,0.0,0.4215
2689,"Sebastian Flores said, ""I feel good.""",0.0,0.0,1.0,0.0
2690,"Scholars report feeling relaxed, mindful, and peaceful. ",0.664,0.0,0.336,0.7845
2691,Her voice was calming.,0.474,0.0,0.526,0.4019
2692,Very calming!,0.767,0.0,0.233,0.5081
2693,tyserytrw5,0.0,0.0,1.0,0.0
2694,The best part of today was thinking about myself.,0.344,0.0,0.656,0.6369
2695,great,1.0,0.0,0.0,0.6249
2696,Great,1.0,0.0,0.0,0.6249
2697,felt good,0.744,0.0,0.256,0.4404
2698,enjoyed it,0.767,0.0,0.233,0.5106
2699,"happy, calm, mindful for some students",0.6,0.0,0.4,0.7184
2700,Love it!,0.818,0.0,0.182,0.6696
2701,relaxing,1.0,0.0,0.0,0.4939
2702,Good message. ,0.744,0.0,0.256,0.4404
2703,"Very Happy
",0.8,0.0,0.2,0.6115
2704,Calm ,1.0,0.0,0.0,0.3182
2705,Calm,1.0,0.0,0.0,0.3182
2706,This activity helped us relax our minds and increase our growth mindsets. It also helped us know that our bodies are important.,0.348,0.0,0.652,0.8225
2707,Great experience today,0.672,0.0,0.328,0.6249
2708,Felt Good,0.744,0.0,0.256,0.4404
2709,Grateful,1.0,0.0,0.0,0.4588
2710,"It feels very calm and I like it very much! I really want the metal cap. This is so mindful, I love it. It made it feel so calm I was almost going to sleep. I really like it and I want to do it again. Thank you. It was really calming. The last time we do mindfulness I will cry so much.",0.335,0.042,0.623,0.9617
2711,"calm, felt good",0.839,0.0,0.161,0.6369
2712,"The breaths made us feel calm, sleepy, and happy in the brain. . ",0.375,0.0,0.625,0.7184
2713,"Breathing in, mindful minute, opening our eyes",0.0,0.0,1.0,0.0
2714,ok,1.0,0.0,0.0,0.296
2715,We love the shark fin and touching all our fingers. ,0.318,0.0,0.682,0.6369
2716,Calm,1.0,0.0,0.0,0.3182
2717,happy,1.0,0.0,0.0,0.5719
2718,nice,1.0,0.0,0.0,0.4215
2719,good,1.0,0.0,0.0,0.4404
2720,"Jayden Cordero states ""I feel happy.""",0.0,0.0,1.0,0.0
2721,it made me  fat,0.0,0.0,1.0,0.0
2722,Calm,1.0,0.0,0.0,0.3182
2723,Amazing!,1.0,0.0,0.0,0.6239
2724,"Excelente!!
",0.0,0.0,1.0,0.0
2725,Grateful ,1.0,0.0,0.0,0.4588
2726,Grateful,1.0,0.0,0.0,0.4588
2727,"Well done Angelina, this mornings Mindful exercise was just what I needed to help refocus me for my day.
Looking forward to our next time together :)",0.253,0.0,0.747,0.7783
2728,very calming,0.75,0.0,0.25,0.4576
2729,Love it!,0.818,0.0,0.182,0.6696
2730,Calm,1.0,0.0,0.0,0.3182
2731,Mindful,0.0,0.0,1.0,0.0
2732,great video,0.804,0.0,0.196,0.6249
2733,It made us relax.,0.492,0.0,0.508,0.4404
2734,Felt Good,0.744,0.0,0.256,0.4404
2735,Gracias por todo. Gracias por la música. I love how you do. I love it. ,0.433,0.0,0.567,0.8555
2737,Mindful,0.0,0.0,1.0,0.0
2738,Happy ,1.0,0.0,0.0,0.5719
2739,My client has only done this twice and as a 7th grader she is not sure she likes it.  I told her we'll keep working on it.,0.0,0.157,0.843,-0.5096
2740,"Tired, case of the Monday's",0.0,0.42,0.58,-0.4404
2741,In my whole teacher’s career I have not felt so relaxed and stress free. Inner Explorer’s mindfulness programs are mesmerizing.,0.28,0.116,0.604,0.6545
2742,We loved it!,0.677,0.0,0.323,0.636
2743,Calm ,1.0,0.0,0.0,0.3182
2744,The K Students thought this mindful experience was great!!!,0.415,0.0,0.585,0.7163
2745,ok,1.0,0.0,0.0,0.296
2746,tfw3453tq,0.0,0.0,1.0,0.0
2747,I loved it.,0.796,0.0,0.204,0.5994
2748,ok,1.0,0.0,0.0,0.296
2749,thank you.,0.714,0.0,0.286,0.3612
2750,great,1.0,0.0,0.0,0.6249
2751,Felt Good,0.744,0.0,0.256,0.4404
2752,Deep breaths were challenging,0.348,0.0,0.652,0.1531
2753,The students didn't like this one. ,0.0,0.297,0.703,-0.2755
2754,Mindful,0.0,0.0,1.0,0.0
2755,"It made me feel calm, took me to my happy place, sleepy, relaxed, and happy.",0.54,0.0,0.46,0.9169
2756,Mindful,0.0,0.0,1.0,0.0
2757,Felt good,0.744,0.0,0.256,0.4404
2758,"happy
",1.0,0.0,0.0,0.5719
2759,We really enjoyed this practice. ,0.473,0.0,0.527,0.5563
2760,"calm relaxed sleepy
beach
comfortable
safe place
",0.796,0.0,0.204,0.8934
2761,thank you,0.714,0.0,0.286,0.3612
2762,Happy ,1.0,0.0,0.0,0.5719
2763,soathing to focus on my heartbeat and allow myself to feel it everywhere,0.137,0.0,0.863,0.2263
2764,klj,0.0,0.0,1.0,0.0
2765,Great,1.0,0.0,0.0,0.6249
2766,felt great!,0.815,0.0,0.185,0.6588
2767,Mindful ,0.0,0.0,1.0,0.0
2768,Thank you I love it. Gracias por la cancion. Gracias por todo. Me gusta mucho.,0.358,0.0,0.642,0.7717
2769,Calm,1.0,0.0,0.0,0.3182
2770,Amazing and relaxing!,0.879,0.0,0.121,0.807
2771,great,1.0,0.0,0.0,0.6249
2772,sad movie music,0.0,0.608,0.392,-0.4767
2773,"happy, felt good, mindful",0.767,0.0,0.233,0.765
2774,The best part of taking time to be quiet is the opportunity to relax.,0.474,0.0,0.526,0.872
2775,aesrgvedret5ha,0.0,0.0,1.0,0.0
2776,Thankfulness is so important! Thank you for the reminder!,0.588,0.0,0.412,0.8203
2777,Happy and delightful,0.882,0.0,0.118,0.8176
2778,Mindful ,0.0,0.0,1.0,0.0
2779,The voice was soothing ,0.434,0.0,0.566,0.3182
2780,The best part of being different from others is my ability to be an individual.,0.333,0.0,0.667,0.7579
2781,ok,1.0,0.0,0.0,0.296
2782,Love it!,0.818,0.0,0.182,0.6696
2783,Mindful,0.0,0.0,1.0,0.0
2784,Mindful,0.0,0.0,1.0,0.0
2785,Calm,1.0,0.0,0.0,0.3182
2786,Felt Good ,0.744,0.0,0.256,0.4404
2787,calm,1.0,0.0,0.0,0.3182
2788,great calming voice,0.872,0.0,0.128,0.7783
2789,Grateful ,1.0,0.0,0.0,0.4588
2790,Good,1.0,0.0,0.0,0.4404
2791,it seems like a lot of fun as well as calming,0.639,0.0,0.361,0.8625
2792,"Dear Ms. Moses,

I liked it when we breathed out and in.  It made me feel grateful.

From, Room 804",0.344,0.0,0.656,0.8126
2793,Mindful,0.0,0.0,1.0,0.0
2795,calm,1.0,0.0,0.0,0.3182
2796,it      was       good,0.592,0.0,0.408,0.4404
2797,We feel happy and calm.,0.667,0.0,0.333,0.7184
2798,"Used to having eyes closed so having them open was challenging, couldn’t focus on hands ",0.103,0.0,0.897,0.1531
2799,Love it!,0.818,0.0,0.182,0.6696
2800,Calm,1.0,0.0,0.0,0.3182
2801,"calm, mindful",0.697,0.0,0.303,0.3182
2802,Love it!,0.818,0.0,0.182,0.6696
2803,The best part of today was in helping me relax.,0.571,0.0,0.429,0.8519
2804,CALM,1.0,0.0,0.0,0.3182
2805,Kung Fu Panda vibes,0.0,0.61,0.39,-0.6908
2806,cALM ME DOWN,0.535,0.0,0.465,0.3182
2807,Felt Good,0.744,0.0,0.256,0.4404
2808,One with the water; calm as the breeze,0.247,0.0,0.753,0.3182
2809,Mindful,0.0,0.0,1.0,0.0
2810,Great Job!,0.815,0.0,0.185,0.6588
2811,Not a good one when you are fighting cases of covid popping up in the room...,0.0,0.274,0.726,-0.6002
2812,"calm
",1.0,0.0,0.0,0.3182
2813,"happy
",1.0,0.0,0.0,0.5719
2814,"This practice made me calm.  It made me relax, my favorite part is the windchimes.
I think it could have had the Inner Explorer song.",0.281,0.0,0.719,0.802
2815,Mindful,0.0,0.0,1.0,0.0
2816,Very informative,0.0,0.0,1.0,0.0
2817,Calm,1.0,0.0,0.0,0.3182
2818,"My students had been facing a lot of behavioral issues but after listening to the programs of Inner Explorer, I was glad to see the changes in them. 
",0.138,0.0,0.862,0.6124
2819,We love the exploring song! ,0.529,0.0,0.471,0.6696
2821,"I was able to remember how I feel when I get mad: my thumbs are tense and my fingers close up in a fist. When I am calm, I smell the peppermint of gas station. It felt good to think about the people who were mean to me and then change my thinking to something else.  It was nice listening to noise and having the opportunity to feel angry and then not angry.  I could feel the difference. ",0.126,0.142,0.733,-0.34
2822,Felt Good ,0.744,0.0,0.256,0.4404
2823,Felt Good ,0.744,0.0,0.256,0.4404
2824,relaxing,1.0,0.0,0.0,0.4939
2825,"It was relaxing.
",0.615,0.0,0.385,0.4939
2826,"ok
",1.0,0.0,0.0,0.296
2827,happy,1.0,0.0,0.0,0.5719
2829,Mindful,0.0,0.0,1.0,0.0
2830,yay,1.0,0.0,0.0,0.5267
2831,"i

























































:)





",1.0,0.0,0.0,0.4588
2832,I like the song,0.556,0.0,0.444,0.3612
2833,The best part of today is that today's lesson helped me to be calm.,0.351,0.0,0.649,0.7579
